Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Terripoo,"The Terripoo is a cross between the Australian Terrier and the miniature Poodle . Intelligent, intuitive, and playful, these small dogs make excellent family pets. Terripoos are also known as Terri Poos, Terridoodles, and Terrypoos. They are considered “designer dogs,” bred on purpose to emphasize desirable characteristics from each breed. As always, please adopt if you’re looking to add a Terripoo to your life. In addition to shelters, these dogs can be found at Terrier and Poodle breed specific rescues. Remember, when you adopt, you save two lives: the one you bring home and the one you make room for at the rescue. These dogs are quite versatile and can do well with young children and even other animals, but supervised introductions are necessary, especially due to their Terrier ancestry–and because of that same ancestry, you may want to stay away from mixing small animals, like rodents, into the group. Wanting to be part of all family activity, Terripoos do best when they get sufficient attention. But with their small size, they don’t need a lot of space. If you’re looking for a loving little dog who can read your moods and alert you when danger is near or something is amiss, a Terripoo might be for you!",https://cdn1-www.dogtime.com/assets/uploads/2020/01/terripoo-mixed-dog-breed-pictures-cover.jpg,5,5,2,1,3,4,3,5,4,3,3,4,1,1,3,3,3,1,2,4,5,2,4,3,3,4,5,3,4,5,4,Mixed Breed Dogs,30.48,5.44,12.5
Swedish Vallhund,"True to their heritage as a working farm dog breed , the Swedish Vallhund is an intelligent and alert companion. They are an active dog who needs an equally active owner. Train them for dog sports or give them a job to do around the house, and you’ll get along fine. The Swedish Vallhund is generally healthy, although they can fall victim to a hereditary eye disease called retinopathy. Their medium-length coat comes in many different colors and combinations.",https://cdn2-www.dogtime.com/assets/uploads/2014/06/file_23298_Swedish-Vallhund-dog-breed.jpg,3,1,3,3,4,3,3,5,4,3,5,4,4,1,5,4,4,3,4,5,5,2,4,1,3,3,5,3,5,5,5,Herding Dogs,,12.93,13.5
Tibetan Spaniel,"Small but active and alert, the Tibetan Spaniel dog breed hails from mountainous Tibet, where he served as a companion and watchdog. He’s known for his intelligence, easy-care coat, and his desire to keep watch over his family from high perches in the house.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23162_tibetan-spaniel-460x290.jpg,5,4,5,1,1,2,3,5,5,4,3,4,3,1,4,5,3,1,3,4,4,3,3,4,3,4,3,3,4,4,4,Companion Dogs,,5.44,13.5
Treeing Tennessee Brindle,"The Treeing Tennessee Brindle dog breed stands out among the hounds for their brindle coat, but their fans are more interested in their ability to send prey up a tree and hold it until the hunter arrives. They’ve got a talented nose and a beautiful voice that sings out when they’re on the trail.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23280_what-is-a-treeing-tennessee-brindle-dog.jpg,1,2,3,2,3,3,2,4,4,4,3,4,4,3,5,4,3,3,4,3,4,3,4,1,1,3,4,4,5,3,4,Hound Dogs,10.16,17.01,11.0
Stabyhoun,"Affectionate and tolerant, this hunting dog breed gets along with people, kids, and other pets. However, like all sporting breeds, he needs a great deal of exercise to stay happy and calm. He excels at water retrieving in particular, but also enjoys other canine sports.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23264_Stabyhoun-dog-breed.jpg,2,3,4,3,2,2,3,5,5,4,3,4,3,1,3,5,3,3,3,5,5,1,4,3,3,4,3,4,4,5,4,Sporting Dogs,10.16,21.55,13.5
Soft Coated Wheaten Terrier,"Sturdy and fun loving, the Soft Coated Wheaten dog breed is a friend to one and all. He’s relatively easygoing for a terrier, needs a moderate amount of exercise, and can make a great family dog. That soft, silky coat needs a lot of grooming, however, and the Wheaten can occasionally be hard headed when it comes to training. See all Soft Coated Wheaten Terrier characteristics below! Additional articles you will be interested in: Adoption Dog Names Bringing Home Your Dog Help with Training Puppies Housetraining Puppies Feeding a Puppy Dog games Teaching your dog tricks How to take pictures of your dog",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23088_soft-coated-wheaten-terrier-460x290.jpg,5,4,4,2,2,3,3,5,5,5,5,5,2,1,3,4,3,3,3,4,4,2,3,3,4,3,4,3,4,5,4,Terrier Dogs,7.62,15.88,13.5
Sussex Spaniel,"Long and low, with a unique golden liver color, the Sussex Spaniel dog breed was developed in Sussex County, England, to flush birds into the air for hunters. They have a reputation for being slow and sedate, but they liven up when they scent birds. With proper training and attention, the cheerful Sussex is an excellent companion. They fit very well into apartment life and give lots of love to their humans, but they don’t fair so well when left alone for long periods of time. As a highly sensitive breed, they crave affection and attention. DogTime recommends this carrier for traveling with your small Sussex Spaniel. You should also pick up this squeaker rope toy to help keep your low energy pup active! See all Sussex Spaniel dog breed characteristics below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22994_sussex-spaniel-460x290.jpg,5,5,5,1,5,5,4,5,5,5,5,5,3,1,4,4,5,2,3,3,5,2,1,4,1,3,2,1,2,4,2,Sporting Dogs,2.54,18.14,12.5
Texas Heeler,"The Texas Heeler is a mixed breed dog–a cross between the Australian Cattle Dog and Australian Shepherd dog breeds. Intelligent, hard-working, and energetic, these herding pups inherited some of the best qualities from both of their parents. Texas Heelers get their name from the state where you’re most likely to find them–Texas–combined with the “Heeler” nickname of their Australian Cattle Dog parent (also called the Queensland Heeler or Blue Heeler). Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great family dogs and tend to thrive in a larger home setting, like a farm or house with a backyard. But this active mixed breed does well in urban settings, too, provided that their owners give them plenty of exercise and play time. If you want an intelligent, highly trainable pooch for your family or as a working companion, the Texas Heeler might be the right dog for you! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Texas Heeler. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn1-www.dogtime.com/assets/uploads/2020/02/texas-heeler-mixed-dog-breed-pictures-cover.jpg,2,3,3,3,4,3,3,4,3,3,3,3,4,2,3,3,5,3,3,3,5,4,3,2,4,4,5,3,5,4,4,Mixed Breed Dogs,48.26,17.01,13.5
Standard Schnauzer,"Standard Schnauzers were originally bred to be ratters, guard dogs, and all-purpose dogs on German farms. Their versatility, medium size, protective nature, and love of family make them an excellent companion dog breed . Although they can be somewhat territorial and stubborn, dogs of this breed also have high intelligence and energy. If you’re an experienced dog parent looking for a guardian and best friend to go with you on adventures, this may be the breed for you! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Standard Schnauzer. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all Standard Schnauzer characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22950_standard-schnauzer-460x290.jpg,4,2,4,2,4,4,3,4,4,3,2,3,1,1,2,5,1,3,2,3,5,3,5,2,5,4,5,3,5,5,5,Working Dogs,7.62,18.14,14.5
Staffordshire Bull Terrier,"Although they were created in 19th-century Britain to be a small, fast fighting dog, those days are long past. The Staffordshire Bull Terrier dog breed of today is a fine companion known for their courage, intelligence and love of children.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23292_staffordshire-bull-terrier-460x290.jpg,3,1,4,2,3,1,2,5,5,1,5,4,3,3,5,3,4,2,3,2,3,2,2,3,4,3,3,3,4,5,4,Terrier Dogs,3.81,14.06,13.0
Springador,"The Springador is a mixed breed dog–a cross between the Springer Spaniel and Labrador Retriever dog breeds. Loyal, friendly and smart, these pups inherited some of the best qualities from both of their parents. You can find these mixed breed dogs in shelters and breed-specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these pups to your home! The Springador is renowned for being a devoted family dog with a pleasant disposition and a friendly attitude. The mixed breed is playful and very smart–which means they’re also suited to becoming working dogs. However, they can suffer from separation anxiety if left alone all day; plus, they sometimes have a reputation for being better suited to living with adults rather than children.",https://cdn3-www.dogtime.com/assets/uploads/2019/11/springador-mixed-dog-breed-pictures-cover.jpg,2,3,4,1,4,4,3,4,3,3,3,3,1,2,4,4,4,4,3,5,5,2,4,3,4,4,4,3,4,4,4,Mixed Breed Dogs,53.34,31.75,12.0
Spanish Mastiff,"The Spanish Mastiff is a purebred working dog with an old history of serving as a guardians for sheep and livestock. Protective, loving, and calm, these gentle giants have become popular guard dogs and family pets alike. Spanish Mastiffs have gone by several names throughout the years, as they are such an old breed, but two of the more common names include the Mastín Español and Mastín de España . Although these pups are not very common, you can still find them in shelters and breed specific rescues, so adopt! Don’t shop! The Spanish Mastiff is not a good breed for beginner dog owners as they tend to be strong-willed and will need firm training from someone who has a strong personality type that the dog can see as a leader. They’re a giant breed, and despite how lazy they can be at times, they don’t make great apartment dogs. They’ll do just as well with families as with a single owner and tend to bark very little. If you’re looking for a confident, strong, and noble breed that will defend your home at all costs, this may be the next companion for you!",https://cdn3-www.dogtime.com/assets/uploads/2020/01/spanish-mastiff-dog-breed-pictures-cover.jpg,2,1,3,3,4,3,3,4,4,2,2,3,3,2,3,4,3,5,3,2,4,2,1,1,2,2,3,2,3,4,3,Working Dogs,77.47,81.65,11.0
Spinone Italiano,"The Spinone Italiano is an energetic gun dog originally bred for hunting. Today, many spend their time as companion animals. Medium in size, loyal, and athletic, this dog would be great for an active family on the go. The Spinone Italiano (the plural form is Spinoni Italiani) goes by many names including Italian Spinone, Spinone, Italian Griffon, Italian Wire-Haired Pointer, and Italian Coarsehaired Pointer. Despite their purebred status, you can find them in shelters and rescues, so adopt! Don’t shop! These hunting dogs adore their humans and all of the activities that come with being in a family. Going for a hike? Don’t leave this pup behind. They love hiking and the great outdoors. Long periods of solitude would never do, and apartment life is not ideal. This dog needs room to run around. If you have a house with a backyard, this dog will thrive on keeping their turf critter-free. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Spinone Italiano. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://cdn3-www.dogtime.com/assets/uploads/2018/08/spinone-italiano-dog-breed-pictures-header-460x260.jpg,4,4,5,2,4,3,4,5,5,5,5,5,3,4,2,3,2,4,3,4,4,2,4,2,2,3,4,2,4,4,4,Sporting Dogs,63.5,33.34,12.0
Small Munsterlander Pointer,"This Small Munsterlander Pointer dog breed is affectionate with family, kids, and other dogs alike. He excels at water retrieving, and if you’re not a hunter, you’ll need to find other ways to give him physical and mental exercise — he needs plenty of both.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23256_small-munsterlander-pointer-460x290.jpg,1,2,3,4,5,3,3,5,5,5,4,5,3,1,3,5,3,3,3,5,5,3,5,3,4,4,4,5,5,4,5,Sporting Dogs,10.16,22.68,13.0
Sloughi,"The Sloughi is a one-person or one-family dog breed who’s affectionate with his own people but aloof toward strangers. Like many hounds, his stubborn nature can make him too much of a handful for first-time dog owners.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23260_sloughi-dog-breed-picture-460x290.jpg,4,2,4,3,2,3,3,5,5,4,3,4,3,1,5,3,2,4,3,3,4,3,5,2,3,3,5,3,5,3,4,Hound Dogs,,23.36,14.0
